序号,招聘信息ID,企业名称,企业类型,招聘岗位,薪资范围,招募类型,期望学历,工作年数,招募人数,岗位类型,技能需求,公司地址,工作福利
40,	1570688591800172545,贵州玉珏网络技术服务有限责任公司,"['互联网', '大数据']",高级业务架构师,"[10000, 11000]",全职,本科,不限,2,"['互联网', '电商']",[],贵州省贵阳市,"['五险一金', '专业培训', '定期体检']"
41,	1570688591800172544,贵州玉珏网络技术服务有限责任公司,"['互联网', '大数据']",数据开发工程师,"[15000, 20000]",全职,本科,1-3年,2,"['互联网', '电商']",[],贵州省贵阳市,"['五险一金', '专业培训', '定期体检']"
42,	1569585390216675328,上海派兰数据科技有限公司,"['互联网', '大数据']",数据分析师,"[8000, 15000]",全职,本科,不限,2,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
43,	1569585390212481024,上海派兰数据科技有限公司,"['互联网', '大数据']",数据工程师,"[10000, 12000]",全职,本科,不限,3,"['互联网', '大数据']",[],上海市,"['五险一金', '专业培训', '定期体检']"
44,	1568156705815134209,东华软件股份公司,"['互联网', '软件']",DataGovernance数据治理,"[20000, 25000]",全职,本科,不限,2,"['互联网', '软件']",[],四川省成都市,"['五险一金', '专业培训', '定期体检']"
45,	1568156705815134208,东华软件股份公司,"['互联网', '软件']",数据分析师,"[20000, 25000]",全职,本科,不限,3,"['互联网', '软件']",[],四川省成都市,"['五险一金', '专业培训', '定期体检']"
46,	1567747885691437056,广州粤烽泰卓贸易有限公司,"['互联网', '电子商务']",电商运营助理,"[4500, 7000]",全职,大专,不限,1,"['互联网', '电子商务']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
47,	1567747885687242752,广州粤烽泰卓贸易有限公司,"['互联网', '电子商务']",数据分析师助理,"[4500, 6000]",全职,大专,不限,2,"['互联网', '电子商务']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
48,	1566973716963917825,厦门唐普信息技术有限公司,"['互联网', '软件']",数据开发,"[8000, 12000]",全职,本科,不限,1,"['互联网', '软件']",[],山东省厦门市,"['五险一金', '专业培训', '定期体检']"
49,	1566973716963917824,厦门唐普信息技术有限公司,"['互联网', '软件']",数据报表开发,"[8000, 10000]",全职,本科,不限,2,"['互联网', '软件']",[],北京市厦门市,"['五险一金', '专业培训', '定期体检']"
50,	1566635553703723008,四川宏链易安商贸有限公司,"['互联网', '电子商务']",数据分析员,"[7000, 10000]",全职,本科,1-3年,2,"['互联网', '电子商务']",[],四川省成都市,"['五险一金', '专业培训', '定期体检']"
51,	1565544666676461569,万宝盛华信息科技（上海）有限公司,"['互联网', '软件']",ETL开发工程师,"[15000, 30000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省珠海市,"['五险一金', '专业培训', '定期体检']"
52,	1565544666676461568,万宝盛华信息科技（上海）有限公司,"['互联网', '软件']",数据处理员,"[8000, 12000]",全职,本科,1-3年,5,"['互联网', '软件']",[],北京市市辖区,"['五险一金', '专业培训', '定期体检']"
53,	1565240659105939457,彩讯科技股份有限公司,"['互联网', '软件']",运维部-Mysql-DBA,"[15000, 30000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
54,	1565240659105939456,彩讯科技股份有限公司,"['互联网', '软件']",数据分析师,"[8000, 12000]",全职,本科,1-3年,5,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
55,	1564534693704105985,陕西鸿运荣昇网络科技有限公司,"['互联网', '软件']",大数据运营实习生,"[4000, 6000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
56,	1564534693704105984,陕西鸿运荣昇网络科技有限公司,"['互联网', '软件']",大数据分析实习生,"[4000, 6000]",全职,本科,不限,5,"['互联网', '软件']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
57,	1564134750673829888,深圳市美易国际物流有限公司,"['互联网', '物流']",渠道运营总监,"[40000, 70000]",全职,大专,5-7年,2,"['互联网', '物流']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
58,	1564134750669635584,深圳市美易国际物流有限公司,"['互联网', '物流']",数字化创新人才,"[15000, 25000]",全职,本科,3-5年,2,"['互联网', '物流']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
59,	1562373753655132161,中银信息技术服务（深圳）有限公司,"['互联网', '大数据']",银行数据分析师,"[15000, 30000]",全职,本科,不限,2,"['互联网', '金融']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
60,	1562373753655132160,中银信息技术服务（深圳）有限公司,"['互联网', '大数据']",高级数据分析师,"[15000, 30000]",全职,本科,5-7年,2,"['互联网', '金融']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
61,	1561971141940215809,深圳漪畔网络科技有限公司,"['互联网', '大数据']",数据分析师,"[10000, 11000]",全职,本科,不限,2,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
62,	1561971141940215808,深圳漪畔网络科技有限公司,"['互联网', '大数据']",亚马逊数据分析师,"[12000, 15000]",全职,本科,1-3年,2,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
63,	1561676702764105729,广州迪诺德科技有限公司,"['互联网', '大数据']",数据分析助理初级,"[6000, 9000]",全职,本科,不限,5,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
64,	1561676702764105728,广州迪诺德科技有限公司,"['互联网', '大数据']",数据分析师,"[6000, 12000]",全职,本科,1-3年,2,"['大数据', '互联网']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
65,	1559731106436218880,京信数据科技有限公司,"['互联网', '大数据']",销售经理,"[10000, 20000]",全职,大专,3-5年,5,"['互联网', '大数据']",[],广东省中山市,"['五险一金', '专业培训', '定期体检']"
66,	1559731106432024576,京信数据科技有限公司,"['互联网', '大数据']",数据分析师,"[8000, 10000]",全职,本科,1-3年,2,"['互联网', '大数据']",[],广东省中山市,"['五险一金', '专业培训', '定期体检']"
67,	1559484302188740609,广州徽创未来信息科技有限公司,"['互联网', '大数据']",数据开发工程师,"[10000, 15000]",全职,本科,3-5年,1,"['互联网', '大数据']",[],广东省珠海市,"['五险一金', '专业培训', '定期体检']"
68,	1559484302188740608,深圳市金百泽电子科技股份有限公司,"['互联网', '通讯']",ETL开发工程师,"[10000, 20000]",全职,本科,1-3年,1,"['互联网', '通讯']",[],广东省惠州市,"['五险一金', '专业培训', '定期体检']"
69,	1558010601740042240,深圳市金百泽电子科技股份有限公司,"['互联网', '通讯']",数据开发工程师,"[15000, 20000]",全职,本科,3-5年,1,"['互联网', '通讯']",[],北京市深圳市,"['五险一金', '专业培训', '定期体检']"
70,	1558010601735847936,深圳市金百泽电子科技股份有限公司,"['互联网', '通讯']",ETL开发工程师,"[10000, 20000]",全职,本科,1-3年,1,"['互联网', '通讯']",[],广东省惠州市,"['五险一金', '专业培训', '定期体检']"
71,	1557673013896413185,广东玉扳手科技有限公司,"['互联网', '电商']",互联网产品经理,"[12000, 20000]",全职,本科,3-5年,1,"['互联网', '电商']",[],广东省佛山市,"['五险一金', '专业培训', '定期体检']"
72,	1557673013896413184,广东玉扳手科技有限公司,"['互联网', '电商']",数据分析员,"[4500, 6000]",全职,本科,1-3年,3,"['互联网', '电商']",[],广东省佛山市,"['五险一金', '专业培训', '定期体检']"
73,	1556934209443069952,惠州海吉星农产品国际物流有限公司,"['互联网', '物流']",产业链数字专员,"[4500, 6000]",全职,本科,1-3年,3,"['互联网', '物流']",[],广东省惠州市,"['五险一金', '专业培训', '定期体检']"
74,	1556545875319324672,广州广电计量检测股份有限公司,"['互联网', '计量']",数字化工程师,"[7000, 9000]",全职,本科,1-3年,3,"['互联网', '计量']",[],四川省成都市,"['五险一金', '专业培训', '定期体检']"
75,	1556465022673223680,深圳市四只悟空网络科技有限公司,"['互联网', '电商']",电商战略分析师,"[15000, 25000]",全职,本科,1-3年,1,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
76,	1556465022669029376,深圳市四只悟空网络科技有限公司,"['互联网', '电商']",商业数据分析师,"[10000, 15000]",全职,本科,1-3年,3,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
77,	1555102215444758529,佛山市格来德小家电有限公司,"['互联网', '大数据']",工程师助理,"[5000, 9000]",全职,大专,1-3年,1,"['互联网', '家居']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
78,	1555102215444758528,佛山市格来德小家电有限公司,"['互联网', '大数据']",数据分析员,"[4000, 6000]",全职,本科,1-3年,3,"['互联网', '家居']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
79,	1555095262987419648,广州腾劲网络科技有限公司,"['互联网', '大数据']",数据运营专员,"[7000, 10000]",全职,本科,1-3年,1,"['互联网', '大数据']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
80,	1555095262983225344,广州腾劲网络科技有限公司,"['互联网', '大数据']",数据分析师,"[6000, 10000]",全职,本科,1-3年,3,"['互联网', '大数据']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
81,	1554023803397472256,康佳集团股份有限公司,"['互联网', '电子信息']",语音前端算法研发工程师,"[20000, 30000]",全职,博士,3-5年,1,"['互联网', '电子信息']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
82,	1554023803393277952,康佳集团股份有限公司,"['互联网', '电子信息']",数据分析助理工程师,"[19000, 30000]",全职,本科,1-3年,3,"['互联网', '电子信息']",[],广东省深圳市,"['五险一金', '专业培训', '定期体检']"
83,	1552975408281026560,欧派家居集团股份有限公司,"['互联网', '家居']",遗留判定分析工程师,"[5000, 8000]",全职,本科,不限,5,"['互联网', '家居']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
84,	1552975408276832256,欧派家居集团股份有限公司,"['互联网', '家居']",遗留数据分析专员,"[6000, 7000]",全职,本科,1-3年,3,"['互联网', '家居']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
85,	1551808344774279168,广州稷生科技有限公司,"['互联网', '软件']",前端工程师,"[5000, 8000]",全职,本科,不限,5,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
86,	1551808344770084864,广州稷生科技有限公司,"['互联网', '软件']",Python爬虫工程师,"[4500, 8000]",全职,本科,不限,3,"['互联网', '软件']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
87,	1551793389706543105,凯捷咨询(中国)有限公司,"['互联网', '软件']",数据分析师,"[5000, 8000]",全职,本科,不限,50,"['互联网', '软件']",[],辽宁省沈阳市,"['五险一金', '专业培训', '定期体检']"
88,	1551793389706543104,凯捷咨询(中国)有限公司,"['互联网', '软件']",技术后端,"[4500, 8000]",全职,本科,不限,30,"['互联网', '软件']",[],辽宁省沈阳市,"['五险一金', '专业培训', '定期体检']"
89,	1551507309048496128,广州华彩智云科技有限公司,"['互联网', '大数据']",数据实施工程师,"[20000, 30000]",全职,本科,1-3年,2,"['互联网', '大数据']",['机器学习'],广东省广州市,"['五险一金', '专业培训', '定期体检']"
90,	1549270148198825984,广州华胥科技有限公司,"['互联网', '大数据']",数据分析助理,"[6000, 8000]",全职,本科,1-3年,2,"['互联网', '大数据']","['数据预处理', '数据查询']",广东省中山市,"['五险一金', '专业培训', '定期体检']"
91,	1549270148198825985,广州华胥科技有限公司,"['互联网', '大数据']",数据运营,"[8000, 12000]",全职,本科,3-5年,3,"['互联网', '大数据']","['数据分析', '数据可视化', '数据预处理', '数据计算']",广东省中山市,"['五险一金', '专业培训', '定期体检']"
92,	1549669899390025728,成都天符人瑞教育咨询有限公司,"['互联网', '大数据']",大数据分析师,"[20000, 30000]",全职,本科,1-3年,2,"['互联网', '大数据']","['数据采集', '数据分析', '数据挖掘', '数据查询']",四川省成都市,"['五险一金', '专业培训', '定期体检']"
93,	1549231524551983104,广东数业智能科技有限公司,"['互联网', '大数据']",数据处理工程师,"[29000, 35000]",全职,本科,不限,2,"['互联网', '大数据']","['数据采集', '数据预处理']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
94,	1549231524551983105,广东数业智能科技有限公司,"['互联网', '大数据']",NLP算法研究员,"[26000, 44000]",全职,本科,不限,3,"['互联网', '大数据']","['数据挖掘', '数据预处理', '自然语言处理', '深度学习']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
95,	1542733237841952768,广州市芊之美服饰有限公司,"['互联网', '电商']",商品数据分析专员,"[5000, 10000]",全职,大专,不限,3,"['互联网', '电商']","['数据查询', '数据计算', '数据预处理', '数据可视化', '数据分析']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
96,	1542733237841952769,广州市芊之美服饰有限公司,"['互联网', '电商']",区域督导,"[9000, 13000]",全职,大专,3-5年,3,"['互联网', '电商']","['销售技巧', '室内设计']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
97,	1547872363733975041,广东南方数码科技股份有限公司,"['互联网', '大数据']",数据处理实习生,"[2500, 2600]",实习,大专,不限,25,"['互联网', '大数据']","['数据预处理', '数据采集']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
98,	1547872363733975040,广东南方数码科技股份有限公司,"['互联网', '大数据']",数据分析实习生,"[2500, 3500]",实习,本科,不限,5,"['互联网', '大数据']","['数据采集', '数据分析', '数据可视化']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
99,	1547141682221416448,北京云百讯科技有限公司佛山分公司,"['互联网', '大数据']",地图数据加工处理专员,"[3500, 6500]",全职,大专,不限,10,"['互联网', '大数据']",['数据预处理'],广东省佛山市,"['五险一金', '专业培训', '定期体检']"
100,	1547141682217222144,北京云百讯科技有限公司佛山分公司,"['互联网', '大数据']",AI数据标注师,"[3000, 6000]",全职,大专,不限,20,"['互联网', '大数据']","['数据预处理', '数据分析', '数据探索']",广东省佛山市,"['五险一金', '专业培训', '定期体检']"
101,	1546677462266675200,广州云铂科技有限公司技有限公司,"['互联网', '大数据']",数据分析初级,"[7000, 12000]",全职,本科,不限,7,"['互联网', '大数据']","['数据分析', '数据可视化', '数据预处理']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
102,	1546677462262480896,广州云铂科技有限公司技有限公司,"['互联网', '大数据']",BI数据分析师助理,"[8000, 11000]",全职,本科,不限,2,"['互联网', '大数据']","['数据可视化', '数据分析', '数据预处理']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
103,	1546677229352779776,广东嘉盛达科技有限公司,"['互联网', '大数据']",数据治理工程师,"[6000, 8000]",全职,本科,不限,3,"['互联网', '大数据']","['数据计算', '数据可视化', '需求分析']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
104,	1546677229344391168,广东嘉盛达科技有限公司,"['互联网', '大数据']",电网数据分析实习生,"[5000, 10000]",实习,本科,不限,3,"['互联网', '大数据']","['数据可视化', '数据分析', '数据挖掘', '数据查询']",广东省广州市,"['五险一金', '专业培训', '定期体检']"
105,	1542028331946475521,京易无忧（广东）电子商务有限公司,"['互联网', '大数据']",电商数据分析师,"[9000, 13000]",全职,本科,1-3年,3,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
106,	1542028331946475520,京易无忧（广东）电子商务有限公司,"['互联网', '大数据']",计算机大数据推广专员,"[5000, 10000]",全职,大专,不限,60,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
107,	1541254101239726081,活树信息科技（东莞）有限公司,"['互联网', '大数据']",视频数据标注,"[2800, 3000]",全职,不限,不限,15,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
108,	1541254101239726080,活树信息科技（东莞）有限公司,"['互联网', '大数据']",运维工程师（大数据）,"[7000, 12000]",全职,技工,不限,25,"['互联网', '大数据']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
109,	1540226891166908418,北京优品尚兴科技有限公司广州分公司,"['互联网', '电商']",数据分析师,"[8000, 12000]",全职,本科,1-3年,2,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
110,	1540226891166908417,北京优品尚兴科技有限公司广州分公司,"['互联网', '电商']",在线客服,"[13000, 20000]",全职,不限,3-5年,10,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
111,	1540226891166908416,北京优品尚兴科技有限公司广州分公司,"['互联网', '电商']",选品员,"[3500, 6000]",全职,技工,不限,25,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
112,	1539817715076825090,广东科慧信息服务股份有限公司,"['互联网', '通信']",web前端开发工程师,"[8000, 12000]",全职,本科,1-3年,2,"['互联网', '通信']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
113,	1539817715076825089,广东科慧信息服务股份有限公司,"['互联网', '通信']",商务拓展（BD）总监,"[13000, 20000]",全职,不限,3-5年,10,"['互联网', '通信']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
114,	1539817715076825088,广东科慧信息服务股份有限公司,"['互联网', '通信']",中国移动10086客户服务代表,"[3500, 6000]",全职,技工,不限,25,"['互联网', '通信']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
115,	1539456406367895555,扬州振扬信息科技有限公司,"['互联网', '电商']",电商数据分析,"[15000, 20000]",全职,本科,3-5年,1,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
116,	1539456406367895554,扬州振扬信息科技有限公司,"['互联网', '电商']",天猫运营,"[8000, 10500]",全职,大专,不限,2,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
117,	1539456406367895553,扬州振扬信息科技有限公司,"['互联网', '电商']",运营助理,"[3000, 4500]",全职,大专,不限,10,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
118,	1539456406367895552,扬州振扬信息科技有限公司,"['互联网', '电商']",在线客服,"[3500, 6000]",全职,大专,不限,25,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
119,	1539449854449811457,苏州易康萌思电子商务有限公司,"['互联网', '电商']",电商数据分析师,"[8000, 12000]",全职,本科,1-3年,2,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
120,	1539449854449811456,苏州易康萌思电子商务有限公司,"['互联网', '电商']",电商客服,"[3500, 6000]",全职,大专,不限,20,"['互联网', '电商']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
121,	1537622545719754753,日立电梯(中国)有限公司,"['互联网', '机械']",机器学习算法研发工程师（嵌入式软件）,"[20000, 30000]",全职,本科,3-5年,1,"['互联网', '机械']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
122,	1537622545719754752,日立电梯(中国)有限公司,"['互联网', '机械']",大数据开发工程师,"[15000, 20000]",全职,本科,3-5年,2,"['互联网', '机械']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
123,	1537270370250391553,广州市方圆房地产发展有限公司,"['互联网', '地产']",成本预算工程师,"[10000, 13000]",全职,本科,3-5年,3,"['互联网', '地产']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
124,	1537270370250391552,广州市方圆房地产发展有限公司,"['互联网', '地产']",集团总部-高级数据分析师,"[13000, 16000]",全职,本科,3-5年,2,"['互联网', '地产']",[],广东省广州市,"['五险一金', '专业培训', '定期体检']"
